City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Mackay,AU,82.4,few clouds,-21.15,149.2,International Lodge Motel
3,Bardiyah,LY,67.12,light rain,31.76,25.09,بورتو بردية
4,Touho,NC,74.39,light rain,-20.78,165.23,Auberge Timay Evasion
6,Faanui,PF,78.87,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
7,Bonthe,SL,77.7,broken clouds,7.53,-12.51,Bonthe Holiday Village
8,Japura,ID,90.68,light rain,-0.32,102.35,Rumah mbah Jamah
9,Rikitea,PF,72.61,few clouds,-23.12,-134.97,Pension Maro'i
15,Kayes,ML,71.78,clear sky,14.0,-11.0,
16,Atuona,PF,78.21,clear sky,-9.8,-139.03,Villa Enata
22,Robertsport,LR,77.36,moderate rain,6.75,-11.37,Kwepunha Retreat
27,Avarua,CK,75.2,scattered clouds,-21.21,-159.78,Paradise Inn
28,Port Augusta,AU,73.99,overcast clouds,-32.5,137.77,Majestic Oasis Apartments
32,Puerto Maldonado,PE,72.43,moderate rain,-12.6,-69.18,Wasai Hotel
33,Hobart,AU,77.0,clear sky,-42.88,147.33,St Ives Hobart Accommodation Tasmania
34,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
37,Puerto Ayora,EC,69.01,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
41,Rincon,US,78.8,overcast clouds,32.3,-81.24,Bent tree subdivision
44,Bonoua,CI,75.2,few clouds,5.27,-3.6,Hotel Bon Samaritian
46,Beloha,MG,85.95,scattered clouds,-25.17,45.05,
48,Bowen,AU,82.4,few clouds,-20.02,148.23,Castle Motor Lodge Motel
51,Praya,CV,77.0,clear sky,14.92,-23.51,LT Aparthotel
52,Kavieng,PG,85.08,scattered clouds,-2.57,150.8,Nusa Island Retreat
55,Cape Town,ZA,71.01,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
57,Hithadhoo,MV,83.46,broken clouds,-0.6,73.08,Scoop Guest House
59,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
62,Mbandaka,CD,73.89,broken clouds,0.05,18.26,Guest House Epervier
68,Arraial Do Cabo,BR,72.45,overcast clouds,-22.97,-42.03,Pousada Porto Praia
69,Adrar,MR,72.01,clear sky,20.5,-10.07,
71,New Norfolk,AU,77.0,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
72,Cockburn Town,TC,81.34,light rain,21.46,-71.14,Osprey Beach Hotel
73,Picota,PE,71.87,overcast clouds,-6.92,-76.33,Hospedaje Vanessa
75,Avera,US,73.4,haze,33.19,-82.53,
79,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
80,Port Blair,IN,84.49,few clouds,11.67,92.75,Fortune Resort Bay Island
81,Saint-Philippe,RE,82.4,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
82,Mahebourg,MU,80.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
87,Balabac,PH,84.7,overcast clouds,7.99,117.06,Sing and Swing Lodge
88,Victoria,HK,82.99,clear sky,22.29,114.16,Mini Hotel Central
91,Bengkulu,ID,87.66,scattered clouds,-3.8,102.27,Grage Hotel Bengkulu
93,Hilo,US,75.2,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
98,Butaritari,KI,81.41,overcast clouds,3.07,172.79,Isles Sunset Lodge
101,Airai,TL,79.72,light rain,-8.93,125.41,Juvinal Martin
103,Vaitape,PF,79.72,light rain,-16.52,-151.75,Conrad Bora Bora Nui
105,Matara,LK,85.75,light rain,5.95,80.54,Amaloh Boutique Resort
106,Luganville,VU,75.2,light intensity shower rain,-15.53,167.17,The Espiritu Hotel
111,Gopalpur,IN,82.49,broken clouds,19.27,84.92,Swosti Palm Resort
112,Muroto,JP,68.0,few clouds,33.28,134.15,Oota Ryokan
116,Sola,VU,82.0,few clouds,-13.88,167.55,Ulkel Guest House
118,Beira,MZ,78.8,broken clouds,-19.84,34.84,Beira Terrace Hotel
121,Cap Malheureux,MU,80.01,clear sky,-19.98,57.61,Pereybere Hotel & Spa
124,Lorengau,PG,85.24,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
131,Padang,ID,87.64,light rain,-0.95,100.35,Mercure Padang
134,Coahuayana,MX,74.08,clear sky,18.73,-103.68,Hotel Los Arcos
137,Bathsheba,BB,77.0,few clouds,13.22,-59.52,Atlantis Hotel
143,Port Alfred,ZA,67.91,clear sky,-33.59,26.89,The Halyards Hotel
144,Sao Joao Da Barra,BR,72.77,light rain,-21.64,-41.05,Pousada Porto De Canoas
146,Fuling,CN,73.85,clear sky,29.7,107.39,Yingbin Hostel
148,Sao Filipe,CV,80.04,clear sky,14.9,-24.5,Tortuga B&B
153,Taoudenni,ML,71.67,clear sky,22.68,-3.98,
155,Bandarbeyla,SO,79.16,broken clouds,9.49,50.81,REER XOOSHLE GROUP
159,San Patricio,US,73.99,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
161,Senanga,ZM,73.56,overcast clouds,-16.12,23.27,Christopher Nasilele House
163,Moindou,NC,71.6,overcast clouds,-21.69,165.68,Gite de la RYAWA
166,Hervey Bay,AU,80.01,clear sky,-25.3,152.85,Shelly Bay Resort
168,Tsogni,GA,77.7,light rain,-2.79,10.1,
169,Touros,BR,71.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
171,Geraldton,AU,71.6,clear sky,-28.77,114.6,Broadwater Mariner Resort
173,Baculin,PH,85.71,overcast clouds,7.45,126.58,Shovy's Cove
174,Carnarvon,AU,75.2,clear sky,-24.87,113.63,Hospitality Carnarvon
176,Dingle,PH,85.17,overcast clouds,11.0,122.67,SEGAYA PROPERTY
177,Sinnamary,GF,78.53,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
179,Mersing,MY,91.4,scattered clouds,2.43,103.84,Timotel Hotel
180,Coxquihui,MX,72.81,broken clouds,20.18,-97.58,Hotel Villas Zozocolco
181,Bambous Virieux,MU,80.6,shower rain,-20.34,57.76,Casa Tia Villa
183,Fuzhou,CN,73.4,few clouds,26.06,119.31,Shangri La Hotel Fuzhou
185,Spring Hill,US,73.99,mist,28.48,-82.53,Room of The world By traveline Plus
189,Oistins,BB,77.0,few clouds,13.07,-59.53,Butterfly Beach Hotel
194,Kudahuvadhoo,MV,83.23,clear sky,2.67,72.89,Kudahuvadhoo Retreat
198,Alibag,IN,87.8,smoke,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
200,Kruisfontein,ZA,70.0,clear sky,-34.0,24.73,Oyster Bay House Rental
201,Sembe,CG,72.82,few clouds,1.65,14.58,
202,Gamba,GA,78.46,moderate rain,-2.65,10.0,
203,Itarema,BR,79.34,few clouds,-2.92,-39.92,Windvillage
205,Jacksonville,US,79.0,light intensity drizzle,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
207,Monpon,PH,85.01,overcast clouds,10.91,122.64,Pototan Hostel
210,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
214,Radaur,IN,80.26,clear sky,30.03,77.15,Brahaman Dharamshala
