City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lagoa,PT,39.05,-27.98,60.57,61,93,4.07,overcast clouds
1,Opuwo,NA,-18.06,13.84,76.17,27,20,1.57,few clouds
2,Mackay,AU,-21.15,149.2,82.4,45,14,13.87,few clouds
3,Bardiyah,LY,31.76,25.09,67.12,79,3,11.86,light rain
4,Touho,NC,-20.78,165.23,74.39,81,62,11.99,light rain
5,Dikson,RU,73.51,80.55,1.99,94,89,2.77,overcast clouds
6,Faanui,PF,-16.48,-151.75,78.87,80,64,11.18,light rain
7,Bonthe,SL,7.53,-12.51,77.7,82,56,2.24,broken clouds
8,Japura,ID,-0.32,102.35,90.68,56,85,3.15,light rain
9,Rikitea,PF,-23.12,-134.97,72.61,76,11,18.77,few clouds
10,Busselton,AU,-33.65,115.33,66.99,67,91,5.99,light rain
11,Hermanus,ZA,-34.42,19.23,66.99,75,5,10.0,clear sky
12,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,33.8,69,75,4.47,broken clouds
13,Severo-Kurilsk,RU,50.68,156.12,36.61,81,91,21.09,overcast clouds
14,Torbay,CA,47.67,-52.73,48.99,100,90,32.21,mist
15,Kayes,ML,14.0,-11.0,71.78,22,0,3.69,clear sky
16,Atuona,PF,-9.8,-139.03,78.21,73,4,12.86,clear sky
17,Punta Arenas,CL,-53.15,-70.92,46.4,81,40,4.7,scattered clouds
18,Mar Del Plata,AR,-38.0,-57.56,63.0,93,0,3.36,clear sky
19,Coquimbo,CL,-29.95,-71.34,53.6,93,71,4.7,broken clouds
20,Talmenka,RU,53.82,83.57,28.4,68,0,6.71,clear sky
21,Aksu,CN,41.12,80.26,52.2,33,100,1.9,overcast clouds
22,Robertsport,LR,6.75,-11.37,77.36,84,84,4.97,moderate rain
23,Upernavik,GL,72.79,-56.15,14.16,85,97,7.81,overcast clouds
24,Lompoc,US,34.64,-120.46,51.8,87,90,2.91,overcast clouds
25,Viseu,PT,40.66,-7.91,50.0,92,100,2.82,overcast clouds
26,Svetlaya,RU,46.54,138.33,44.91,70,27,9.75,scattered clouds
27,Avarua,CK,-21.21,-159.78,75.2,83,37,6.93,scattered clouds
28,Port Augusta,AU,-32.5,137.77,73.99,60,90,14.99,overcast clouds
29,Roebourne,AU,-20.78,117.13,98.91,16,0,20.09,clear sky
30,Champerico,GT,14.3,-91.92,64.99,97,50,8.19,light rain
31,Kapchorwa,UG,1.4,34.45,65.41,73,96,2.28,overcast clouds
32,Puerto Maldonado,PE,-12.6,-69.18,72.43,97,95,2.53,moderate rain
33,Hobart,AU,-42.88,147.33,77.0,29,0,21.92,clear sky
34,Kapaa,US,22.08,-159.32,78.8,78,75,20.8,broken clouds
35,Codrington,AU,-38.27,141.97,61.07,80,76,11.52,light rain
36,Albany,US,42.6,-73.97,57.99,70,100,1.99,overcast clouds
37,Puerto Ayora,EC,-0.74,-90.35,69.01,87,34,4.0,scattered clouds
38,Ribeira Grande,PT,38.52,-28.7,61.07,61,100,5.44,overcast clouds
39,Ushuaia,AR,-54.8,-68.3,48.2,76,40,4.7,scattered clouds
40,Kropotkin,RU,45.44,40.58,37.06,75,19,8.08,few clouds
41,Rincon,US,32.3,-81.24,78.8,88,90,10.29,overcast clouds
42,Bredasdorp,ZA,-34.53,20.04,66.2,77,40,11.41,scattered clouds
43,Hamilton,US,39.18,-84.53,37.99,86,1,9.17,clear sky
44,Bonoua,CI,5.27,-3.6,75.2,94,20,2.24,few clouds
45,Pangody,RU,65.85,74.49,-2.0,92,40,6.91,scattered clouds
46,Beloha,MG,-25.17,45.05,85.95,49,48,9.55,scattered clouds
47,Kenitra,MA,34.26,-6.58,53.6,100,100,3.89,overcast clouds
48,Bowen,AU,-20.02,148.23,82.4,45,18,14.99,few clouds
49,Cidreira,BR,-30.18,-50.21,66.61,91,17,3.29,few clouds
50,Castro,BR,-24.79,-50.01,60.58,97,99,3.65,overcast clouds
51,Praya,CV,14.92,-23.51,77.0,41,0,9.17,clear sky
52,Kavieng,PG,-2.57,150.8,85.08,68,49,7.11,scattered clouds
53,Longyearbyen,SJ,78.22,15.64,46.4,52,0,39.15,clear sky
54,Ostrovnoy,RU,68.05,39.51,28.31,93,88,10.6,overcast clouds
55,Cape Town,ZA,-33.93,18.42,71.01,64,0,2.24,clear sky
56,Pisco,PE,-13.7,-76.22,62.6,88,0,8.05,clear sky
57,Hithadhoo,MV,-0.6,73.08,83.46,71,69,4.43,broken clouds
58,Huarmey,PE,-10.07,-78.15,61.95,84,77,4.45,broken clouds
59,Vaini,TO,-21.2,-175.2,77.0,88,75,8.05,broken clouds
60,Jamestown,US,42.1,-79.24,41.0,86,90,6.93,overcast clouds
61,Trofors,NO,65.53,13.41,35.6,93,0,9.17,clear sky
62,Mbandaka,CD,0.05,18.26,73.89,86,84,2.37,broken clouds
63,Kidal,ML,18.44,1.41,66.49,27,0,11.68,clear sky
64,Pacific Grove,US,36.62,-121.92,54.0,87,1,3.36,clear sky
65,Blacklick Estates,US,39.91,-82.86,37.99,86,1,8.05,clear sky
66,Bluff,NZ,-46.6,168.33,57.99,80,60,14.0,broken clouds
67,Sorland,NO,67.67,12.69,48.2,70,0,5.82,clear sky
68,Arraial Do Cabo,BR,-22.97,-42.03,72.45,94,100,7.56,overcast clouds
69,Adrar,MR,20.5,-10.07,72.01,22,0,2.93,clear sky
70,Rundu,NA,-17.93,19.77,75.29,59,50,1.95,scattered clouds
71,New Norfolk,AU,-42.78,147.06,77.0,33,55,8.01,broken clouds
72,Cockburn Town,TC,21.46,-71.14,81.34,78,78,28.45,light rain
73,Picota,PE,-6.92,-76.33,71.87,85,99,0.43,overcast clouds
