City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2020-11-09 02:56:53,-54.8,-68.3,41.0,65,75,34.45
1,Bluff,NZ,2020-11-09 02:56:53,-46.6,168.33,57.99,67,85,5.99
2,East London,ZA,2020-11-09 02:56:54,-33.02,27.91,65.17,83,100,7.83
3,Angoram,PG,2020-11-09 02:56:54,-4.06,144.07,91.9,55,95,2.75
4,Almaznyy,RU,2020-11-09 02:56:54,48.04,40.05,46.4,93,75,6.71
5,Yellowknife,CA,2020-11-09 02:52:36,62.46,-114.35,28.4,79,75,14.99
6,Lebu,CL,2020-11-09 02:56:54,-37.62,-73.65,51.66,92,27,19.44
7,Rikitea,PF,2020-11-09 02:56:55,-23.12,-134.97,73.11,78,100,15.41
8,Kapaa,US,2020-11-09 02:56:55,22.08,-159.32,80.6,69,40,13.87
9,Hobart,AU,2020-11-09 02:55:47,-42.88,147.33,78.01,40,0,5.82
10,Manaus,BR,2020-11-09 02:56:20,-3.1,-60.02,82.4,74,40,4.7
11,Airai,TL,2020-11-09 02:56:55,-8.93,125.41,80.19,40,80,7.45
12,Vaini,TO,2020-11-09 02:56:56,-21.2,-175.2,82.4,69,20,8.05
13,Butaritari,KI,2020-11-09 02:56:56,3.07,172.79,81.99,65,1,8.79
14,Punta Arenas,CL,2020-11-09 02:56:56,-53.15,-70.92,41.0,80,90,10.29
15,Kaitangata,NZ,2020-11-09 02:52:20,-46.28,169.85,55.99,66,98,11.01
16,Algiers,DZ,2020-11-09 02:52:43,36.75,3.04,59.0,93,75,2.24
17,Burns Lake,CA,2020-11-09 02:52:44,54.23,-125.75,26.6,73,42,3.2
18,Strelka,RU,2020-11-09 02:56:57,58.07,93.03,39.38,86,100,9.46
19,San Quintin,MX,2020-11-09 02:56:57,30.48,-115.95,61.29,64,33,18.12
20,Dong Xoai,VN,2020-11-09 02:54:51,11.53,106.92,83.48,66,100,6.06
21,Saint-Augustin,CA,2020-11-09 02:56:57,51.23,-58.65,28.54,77,99,7.34
22,Tasiilaq,GL,2020-11-09 02:56:57,65.61,-37.64,32.68,96,100,31.03
23,Saint-Philippe,RE,2020-11-09 02:56:57,-21.36,55.77,73.4,64,0,3.36
24,Barrow,US,2020-11-09 02:56:58,71.29,-156.79,15.8,78,90,23.04
25,Tuatapere,NZ,2020-11-09 02:56:58,-46.13,167.68,57.99,67,99,5.99
26,Tarko-Sale,RU,2020-11-09 02:56:58,64.92,77.78,27.0,94,100,4.0
27,Phangnga,TH,2020-11-09 02:56:58,8.45,98.53,84.0,88,75,5.82
28,Bethel,US,2020-11-09 02:56:58,41.37,-73.41,53.01,81,1,3.36
29,Ostrovnoy,RU,2020-11-09 02:56:59,68.05,39.51,32.02,95,100,25.21
30,Samaipata,BO,2020-11-09 02:56:59,-18.15,-63.87,57.58,79,0,2.42
31,Hasaki,JP,2020-11-09 02:56:59,35.73,140.83,63.0,31,75,11.41
32,Saint George,US,2020-11-09 02:56:59,37.1,-113.58,39.99,86,75,5.82
33,Port Alfred,ZA,2020-11-09 02:56:59,-33.59,26.89,62.49,84,100,14.76
34,Hermanus,ZA,2020-11-09 02:57:00,-34.42,19.23,46.0,91,59,1.99
35,Busselton,AU,2020-11-09 02:57:00,-33.65,115.33,64.99,74,99,20.0
36,Khatanga,RU,2020-11-09 02:57:00,71.97,102.5,9.86,91,100,17.4
37,Lorengau,PG,2020-11-09 02:57:00,-2.02,147.27,84.76,67,46,4.63
38,Santa Maria,BR,2020-11-09 02:57:01,-29.68,-53.81,68.0,77,40,17.22
39,Coquimbo,CL,2020-11-09 02:57:01,-29.95,-71.34,55.4,87,0,3.47
40,Pevek,RU,2020-11-09 02:57:01,69.7,170.31,17.15,94,100,3.13
41,Asau,RO,2020-11-09 02:57:02,46.43,26.4,41.0,100,75,2.24
42,Kaspiysk,RU,2020-11-09 02:57:02,42.88,47.64,39.2,49,0,4.47
43,Vanimo,PG,2020-11-09 02:57:02,-2.67,141.3,86.86,63,40,6.26
44,Broome,US,2020-11-09 02:57:02,42.25,-75.83,57.2,47,1,3.36
45,Avera,US,2020-11-09 02:57:02,33.19,-82.53,68.0,94,75,9.17
46,Tiksi,RU,2020-11-09 02:57:02,71.69,128.87,-8.84,88,5,4.09
47,Nhulunbuy,AU,2020-11-09 02:57:03,-12.23,136.77,91.4,55,40,19.46
48,Beringovskiy,RU,2020-11-09 02:57:03,63.05,179.32,20.05,92,21,9.1
49,Piotrkow Trybunalski,PL,2020-11-09 02:57:03,51.41,19.7,43.0,10,0,55.99
50,Xai-Xai,MZ,2020-11-09 02:57:03,-25.05,33.64,74.48,70,0,5.61
51,Comodoro Rivadavia,AR,2020-11-09 02:57:03,-45.87,-67.5,62.6,51,0,3.36
52,Lompoc,US,2020-11-09 02:54:36,34.64,-120.46,53.6,66,75,12.75
53,Cape Town,ZA,2020-11-09 02:56:50,-33.93,18.42,51.8,62,20,4.7
54,Hilo,US,2020-11-09 02:57:04,19.73,-155.09,80.6,69,75,11.41
55,Esperance,AU,2020-11-09 02:57:04,-33.87,121.9,89.6,29,40,20.8
56,Albany,US,2020-11-09 02:57:04,42.6,-73.97,53.01,93,1,2.19
57,Pangai,TO,2020-11-09 02:57:04,-19.8,-174.35,80.6,78,20,6.93
58,Iqaluit,CA,2020-11-09 02:57:05,63.75,-68.51,17.6,72,90,5.82
59,Kieta,PG,2020-11-09 02:57:05,-6.22,155.63,84.0,73,60,4.94
60,Baraboo,US,2020-11-09 02:57:05,43.47,-89.74,66.2,77,1,11.41
61,Clyde River,CA,2020-11-09 02:57:05,70.47,-68.59,-0.4,77,1,19.46
62,Minchinabad,PK,2020-11-09 02:57:05,30.16,73.57,71.74,21,0,2.8
63,Kodiak,US,2020-11-09 02:57:06,57.79,-152.41,44.6,52,40,29.97
64,Kalia,BD,2020-11-09 02:56:35,23.04,89.63,77.68,69,0,6.22
65,Margate,GB,2020-11-09 02:57:06,51.38,1.39,57.0,91,100,1.01
66,Victoria,HK,2020-11-09 02:55:24,22.29,114.16,78.01,48,85,1.01
67,Touros,BR,2020-11-09 02:57:06,-5.2,-35.46,75.2,94,40,4.7
68,Pacific Grove,US,2020-11-09 02:57:06,36.62,-121.92,51.01,61,40,5.82
69,Udachnyy,RU,2020-11-09 02:57:07,66.42,112.4,1.4,84,90,6.71
70,North Bend,US,2020-11-09 02:57:07,43.41,-124.22,42.8,60,1,6.93
71,Fairbanks,US,2020-11-09 02:53:15,64.84,-147.72,33.8,86,90,4.7
72,Bathsheba,BB,2020-11-09 02:57:07,13.22,-59.52,80.6,83,75,14.99
73,Saldanha,ZA,2020-11-09 02:57:08,-33.01,17.94,50.0,81,0,4.7
74,Avarua,CK,2020-11-09 02:57:08,-21.21,-159.78,78.8,69,84,12.5
75,Chokurdakh,RU,2020-11-09 02:57:08,70.63,147.92,-12.73,91,99,3.87
76,Mar Del Plata,AR,2020-11-09 02:54:12,-38.0,-57.56,62.01,93,90,5.82
77,College,US,2020-11-09 02:57:09,64.86,-147.8,33.8,86,90,4.7
78,Saskylakh,RU,2020-11-09 02:57:09,71.92,114.08,-4.85,86,93,16.69
79,Mataura,NZ,2020-11-09 02:57:09,-46.19,168.86,57.99,67,98,5.99
80,Nemuro,JP,2020-11-09 02:57:09,43.32,145.57,41.0,75,75,6.93
81,Sioux Lookout,CA,2020-11-09 02:57:09,50.1,-91.92,55.4,71,5,8.05
